"year","Model","Temperature","RCP"
1993,"CAN_ESM2",17.72117805481,8.5
1994,"CAN_ESM2",18.56802558899,8.5
1995,"CAN_ESM2",18.32899856567,8.5
1996,"CAN_ESM2",18.433801651,8.5
1997,"CAN_ESM2",17.83095169067,8.5
1998,"CAN_ESM2",18.20634460449,8.5
1999,"CAN_ESM2",18.50024986267,8.5
2000,"CAN_ESM2",17.94320487976,8.5
2001,"CAN_ESM2",18.02199745178,8.5
2002,"CAN_ESM2",18.26915740967,8.5
2003,"CAN_ESM2",17.78163337708,8.5
2004,"CAN_ESM2",18.09926986694,8.5
2005,"CAN_ESM2",18.29285621643,8.5
2006,"CAN_ESM2",18.81348609924,8.5
2007,"CAN_ESM2",18.79015350342,8.5
2008,"CAN_ESM2",19.20232200623,8.5
2009,"CAN_ESM2",18.75146865845,8.5
2010,"CAN_ESM2",18.99256706238,8.5
2011,"CAN_ESM2",18.74572563171,8.5
2012,"CAN_ESM2",18.43077278137,8.5
2013,"CAN_ESM2",19.14333343506,8.5
2014,"CAN_ESM2",19.22038269043,8.5
2015,"CAN_ESM2",19.08985137939,8.5
2016,"CAN_ESM2",19.56049728394,8.5
2017,"CAN_ESM2",19.81168937683,8.5
2018,"CAN_ESM2",19.67881965637,8.5
2019,"CAN_ESM2",18.89511680603,8.5
2020,"CAN_ESM2",19.52579498291,8.5
2021,"CAN_ESM2",19.26306724548,8.5
2022,"CAN_ESM2",19.15306091309,8.5
2023,"CAN_ESM2",20.03759384155,8.5
2024,"CAN_ESM2",19.39415168762,8.5
2025,"CAN_ESM2",19.41154098511,8.5
2026,"CAN_ESM2",19.64785385132,8.5
2027,"CAN_ESM2",19.07910919189,8.5
2028,"CAN_ESM2",19.31664848328,8.5
2029,"CAN_ESM2",19.6330280304,8.5
2030,"CAN_ESM2",19.22802352905,8.5
2031,"CAN_ESM2",19.22255516052,8.5
2032,"CAN_ESM2",19.31287384033,8.5
2033,"CAN_ESM2",19.93796348572,8.5
2034,"CAN_ESM2",19.83878326416,8.5
2035,"CAN_ESM2",19.57884979248,8.5
2036,"CAN_ESM2",19.484790802,8.5
2037,"CAN_ESM2",19.19653320312,8.5
2038,"CAN_ESM2",19.61995124817,8.5
2039,"CAN_ESM2",19.5057926178,8.5
2040,"CAN_ESM2",20.46599578857,8.5
2041,"CAN_ESM2",19.67057418823,8.5
2042,"CAN_ESM2",19.58221626282,8.5
2043,"CAN_ESM2",19.76670455933,8.5
2044,"CAN_ESM2",20.80128479004,8.5
2045,"CAN_ESM2",20.20757675171,8.5
2046,"CAN_ESM2",20.12997055054,8.5
2047,"CAN_ESM2",19.66207504272,8.5
2048,"CAN_ESM2",20.52741241455,8.5
2049,"CAN_ESM2",20.24907493591,8.5
2050,"CAN_ESM2",20.63067817688,8.5
2051,"CAN_ESM2",20.72532463074,8.5
2052,"CAN_ESM2",20.81540870667,8.5
2053,"CAN_ESM2",20.652135849,8.5
2054,"CAN_ESM2",21.06740188599,8.5
2055,"CAN_ESM2",21.00981521606,8.5
2056,"CAN_ESM2",20.69764518738,8.5
2057,"CAN_ESM2",20.5432434082,8.5
2058,"CAN_ESM2",20.99025344849,8.5
2059,"CAN_ESM2",20.67363357544,8.5
2060,"CAN_ESM2",21.11329269409,8.5
