"stock","year","age","re"
"haddockGOM",2018,"Age 9",-0.475462731677232
"haddockGOM",2019,"Age 1",0.932146782982085
"haddockGOM",2019,"Age 2",-0.227455567283821
"haddockGOM",2019,"Age 3",-0.224078644231504
"haddockGOM",2019,"Age 4",-0.181469326582709
"haddockGOM",2019,"Age 5",-0.34125359262306
"haddockGOM",2019,"Age 6",-0.143374096384205
"haddockGOM",2019,"Age 7",-0.215401021147043
"haddockGOM",2019,"Age 8",-0.341159055031132
"haddockGOM",2019,"Age 9",-0.336598471810713
"haddockGOM",2020,"Age 1",1.15195621883918
"haddockGOM",2020,"Age 2",0.108552335202765
"haddockGOM",2020,"Age 3",0.280690268854547
"haddockGOM",2020,"Age 4",0.0921257229314865
"haddockGOM",2020,"Age 5",-0.146837929343551
"haddockGOM",2020,"Age 6",-0.0798950284326683
"haddockGOM",2020,"Age 7",-0.250343833043937
"haddockGOM",2020,"Age 8",-0.707102963900455
"haddockGOM",2020,"Age 9",-0.929120008280046
"haddockGOM",2021,"Age 1",2.45949344437455
"haddockGOM",2021,"Age 2",-0.496305048948336
"haddockGOM",2021,"Age 3",-0.429555518429297
"haddockGOM",2021,"Age 4",-0.341121108552629
"haddockGOM",2021,"Age 5",-0.517571962176337
"haddockGOM",2021,"Age 6",-0.332646571434267
"haddockGOM",2021,"Age 7",-0.29089386054555
"haddockGOM",2021,"Age 8",-0.741220960695976
"haddockGOM",2021,"Age 9",-0.943042292801995
"haddockGOM",2022,"Age 1",2.37924456632313
"haddockGOM",2022,"Age 2",0.0569740736524089
"haddockGOM",2022,"Age 3",-0.0165641324437651
"haddockGOM",2022,"Age 4",-0.134725370679742
"haddockGOM",2022,"Age 5",-0.326613924260011
"haddockGOM",2022,"Age 6",-0.159179744137464
"haddockGOM",2022,"Age 7",-0.0182618293430847
"haddockGOM",2022,"Age 8",0.252540439610835
"haddockGOM",2022,"Age 9",0.290867221406293
"haddockGOM",2023,"Age 1",0.733520102472565
"haddockGOM",2023,"Age 2",-0.293052406724689
"haddockGOM",2023,"Age 3",-0.459437618096278
"haddockGOM",2023,"Age 4",-0.49524283521552
"haddockGOM",2023,"Age 5",-0.409465438235467
"haddockGOM",2023,"Age 6",-0.327590555651712
"haddockGOM",2023,"Age 7",-0.186705336789086
"haddockGOM",2023,"Age 8",-0.569636552097005
"haddockGOM",2023,"Age 9",-0.598366859822892
