"","Time","Year","Month","Day","Season","ClimScenario","Lat_COG_10thPercentile","Lat_COG_Mean","Lat_COG_90thPercentile"
"250",2068-03-16,"2068","03","16","Spring","SSP5_85",4580.07603999757,4683.70845613687,4773.68904674647
"251",2068-07-16,"2068","07","16","Summer","SSP5_85",4698.66529360004,4775.7930695948,4854.91181584744
"252",2068-10-16,"2068","10","16","Fall","SSP5_85",4682.63908200572,4765.66906457956,4844.64484115264
"253",2069-03-16,"2069","03","16","Spring","SSP5_85",4583.88127476042,4683.11113896679,4772.76562014978
"254",2069-07-16,"2069","07","16","Summer","SSP5_85",4693.74477135957,4774.15925687411,4855.72509531862
"255",2069-10-16,"2069","10","16","Fall","SSP5_85",4683.94574677334,4766.35333180099,4841.9318950184
"256",2070-03-16,"2070","03","16","Spring","SSP5_85",4587.54915831417,4681.90276086248,4772.57047179988
"257",2070-07-16,"2070","07","16","Summer","SSP5_85",4693.22672745169,4775.59487109139,4855.55691309823
"258",2070-10-16,"2070","10","16","Fall","SSP5_85",4685.77031089305,4767.98424453625,4842.66794108585
"259",2071-03-16,"2071","03","16","Spring","SSP5_85",4588.89939108202,4683.06456885305,4769.98876087409
"260",2071-07-16,"2071","07","16","Summer","SSP5_85",4694.96149230729,4775.74748604582,4855.76788834319
"261",2071-10-16,"2071","10","16","Fall","SSP5_85",4681.15640630062,4766.72769052756,4842.49722216075
"262",2072-03-16,"2072","03","16","Spring","SSP5_85",4590.97847703391,4680.7726047291,4769.35544397179
"263",2072-07-16,"2072","07","16","Summer","SSP5_85",4695.3126044573,4774.81565825171,4854.48949262727
"264",2072-10-16,"2072","10","16","Fall","SSP5_85",4681.92501437453,4768.13358189769,4843.4888167648
"265",2073-03-16,"2073","03","16","Spring","SSP5_85",4592.74331226224,4685.44219421513,4771.53599363868
"266",2073-07-16,"2073","07","16","Summer","SSP5_85",4694.94505902026,4775.46800462765,4856.52337755917
"267",2073-10-16,"2073","10","16","Fall","SSP5_85",4685.33215862822,4769.92308632191,4845.70431799562
"268",2074-03-16,"2074","03","16","Spring","SSP5_85",4595.06182554349,4688.16846928224,4773.12477254422
"269",2074-07-16,"2074","07","16","Summer","SSP5_85",4691.71157417034,4775.54858901055,4854.44691229992
"270",2074-10-16,"2074","10","16","Fall","SSP5_85",4683.70181676749,4770.2284102775,4847.5110305504
"271",2075-03-16,"2075","03","16","Spring","SSP5_85",4594.02888435112,4691.3919022688,4772.43208076962
"272",2075-07-16,"2075","07","16","Summer","SSP5_85",4690.35887523417,4777.248084709,4852.68115188785
"273",2075-10-16,"2075","10","16","Fall","SSP5_85",4682.25706238087,4768.27140878047,4848.85130812442
"274",2076-03-16,"2076","03","16","Spring","SSP5_85",4590.98369059336,4691.91652438199,4774.57824138312
"275",2076-07-16,"2076","07","16","Summer","SSP5_85",4691.09000245772,4778.06230815675,4853.1917733317
"276",2076-10-16,"2076","10","16","Fall","SSP5_85",4685.2174491346,4768.61369146968,4849.22206139855
"277",2077-03-16,"2077","03","16","Spring","SSP5_85",4589.95291466243,4693.54493916985,4773.00502002554
"278",2077-07-16,"2077","07","16","Summer","SSP5_85",4694.77771225841,4779.20250291704,4852.36715162894
"279",2077-10-16,"2077","10","16","Fall","SSP5_85",4684.33527546755,4767.3131871007,4847.21954311509
"280",2078-03-16,"2078","03","16","Spring","SSP5_85",4587.96679576152,4693.82624076072,4774.74127506619
"281",2078-07-16,"2078","07","16","Summer","SSP5_85",4695.37499278921,4780.08136936186,4852.91377754757
"282",2078-10-16,"2078","10","16","Fall","SSP5_85",4687.95182336683,4769.88667333424,4849.01955301177
"283",2079-03-16,"2079","03","16","Spring","SSP5_85",4593.54046622105,4697.3925057847,4777.70681607826
"284",2079-07-16,"2079","07","16","Summer","SSP5_85",4696.13096008079,4779.70368778427,4850.36084920485
"285",2079-10-16,"2079","10","16","Fall","SSP5_85",4691.80450046383,4768.16220513653,4847.57750552972
"286",2080-03-16,"2080","03","16","Spring","SSP5_85",4591.75578329078,4692.58429292548,4776.58790371515
"287",2080-07-16,"2080","07","16","Summer","SSP5_85",4699.49975072552,4779.56763185442,4851.80098225448
