gffishingyear,q_fy,stockcode,stock_string,spstock2,live_price_nom,live_price_R
2012,3,6,GB Winter Flounder,winterflounderGB,1.9675537,1.9732693
2012,3,7,GB Yellowtail Flounder,yellowtailflounderGB,1.3554364,1.3593739
2012,3,8,GOM Cod,codGOM,1.768949,1.7740878
2012,3,9,GOM Haddock,haddockGOM,2.5075114,2.5147955
2012,3,10,GOM Winter Flounder,winterflounderGOM,2.0183134,2.0241766
2012,3,11,Plaice,americanplaiceflounder,1.593237,1.5978653
2012,3,12,Pollock,pollock,.93317324,.93588406
2012,3,13,Redfish,redfish,.62389153,.62570393
2012,3,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.5896189,1.5942367
2012,3,15,White Hake,whitehake,1.3149328,1.3187526
2012,3,16,Witch Flounder,witchflounder,1.8955895,1.9010961
2012,3,17,SNEMA Winter Flounder,,2.2757976,2.2824087
2012,4,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.44089,1.4443729
2012,4,2,GBE Cod,codGB,2.0218401,2.0267272
2012,4,3,GBW Cod,codGB,2.1441104,2.1492932
2012,4,4,GBE Haddock,haddockGB,1.8606076,1.865105
2012,4,5,GBW Haddock,haddockGB,1.967032,1.9717866
2012,4,6,GB Winter Flounder,winterflounderGB,2.2776072,2.2831125
2012,4,7,GB Yellowtail Flounder,yellowtailflounderGB,1.5146779,1.5183392
2012,4,8,GOM Cod,codGOM,2.3102562,2.3158405
2012,4,9,GOM Haddock,haddockGOM,2.4374771,2.4433689
2012,4,10,GOM Winter Flounder,winterflounderGOM,1.9652389,1.9699893
2012,4,11,Plaice,americanplaiceflounder,2.2034233,2.2087493
2012,4,12,Pollock,pollock,1.0363195,1.0388244
2012,4,13,Redfish,redfish,.58424461,.58565682
2012,4,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.7245532,1.7287219
2012,4,15,White Hake,whitehake,1.3815134,1.3848528
2012,4,16,Witch Flounder,witchflounder,2.4221563,2.4280112
2012,4,17,SNEMA Winter Flounder,,2.2720718,2.2775638
2013,1,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.3712821,1.3549269
2013,1,2,GBE Cod,codGB,2.0372186,2.0129209
2013,1,3,GBW Cod,codGB,1.8702619,1.8479555
2013,1,4,GBE Haddock,haddockGB,1.5189557,1.5008392
2013,1,5,GBW Haddock,haddockGB,1.6022203,1.5831107
2013,1,6,GB Winter Flounder,winterflounderGB,1.4681938,1.4506828
2013,1,7,GB Yellowtail Flounder,yellowtailflounderGB,1.5295869,1.5113436
2013,1,8,GOM Cod,codGOM,2.6409891,2.6094902
2013,1,9,GOM Haddock,haddockGOM,2.3925424,2.3640068
2013,1,10,GOM Winter Flounder,winterflounderGOM,1.4530343,1.435704
2013,1,11,Plaice,americanplaiceflounder,1.3015641,1.2860404
2013,1,12,Pollock,pollock,1.0561538,1.043557
2013,1,13,Redfish,redfish,.50606787,.50003207
2013,1,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.3570164,1.3408314
2013,1,15,White Hake,whitehake,1.2884094,1.2730426
2013,1,16,Witch Flounder,witchflounder,2.4777865,2.4482341
2013,1,17,SNEMA Winter Flounder,,1.5108479,1.4928281
2013,2,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.2423958,1.2299273
2013,2,2,GBE Cod,codGB,1.5988199,1.5827744
2013,2,3,GBW Cod,codGB,1.7916064,1.7736262
2013,2,4,GBE Haddock,haddockGB,1.1413329,1.1298786
2013,2,5,GBW Haddock,haddockGB,1.1464007,1.1348956
2013,2,6,GB Winter Flounder,winterflounderGB,1.6711261,1.654355
2013,2,7,GB Yellowtail Flounder,yellowtailflounderGB,1.351283,1.3377217
2013,2,8,GOM Cod,codGOM,2.2075827,2.1854279
2013,2,9,GOM Haddock,haddockGOM,1.6856903,1.6687731
2013,2,10,GOM Winter Flounder,winterflounderGOM,1.5830852,1.5671977
2013,2,11,Plaice,americanplaiceflounder,1.1423942,1.1309294
2013,2,12,Pollock,pollock,1.0922009,1.0812397
2013,2,13,Redfish,redfish,.48741505,.48252344
2013,2,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,1.3245922,1.3112988
2013,2,15,White Hake,whitehake,1.1887661,1.1768359
2013,2,16,Witch Flounder,witchflounder,2.4807513,2.4558549
2013,2,17,SNEMA Winter Flounder,,1.5522276,1.5366497
2013,3,1,CCGOM Yellowtail Flounder,yellowtailflounderCCGOM,1.7241395,1.6862866
2013,3,2,GBE Cod,codGB,1.5007797,1.4678307
2013,3,3,GBW Cod,codGB,1.7429725,1.7047062
2013,3,4,GBE Haddock,haddockGB,1.192394,1.1662154
2013,3,5,GBW Haddock,haddockGB,1.3357614,1.3064352
2013,3,6,GB Winter Flounder,winterflounderGB,2.084671,2.0389028
2013,3,7,GB Yellowtail Flounder,yellowtailflounderGB,3.1018102,3.0337112
2013,3,8,GOM Cod,codGOM,2.3444574,2.2929857
2013,3,9,GOM Haddock,haddockGOM,1.8681391,1.8271248
2013,3,10,GOM Winter Flounder,winterflounderGOM,2.3781466,2.3259354
2013,3,11,Plaice,americanplaiceflounder,2.0894797,2.0436058
2013,3,12,Pollock,pollock,1.0149471,.99266428
2013,3,13,Redfish,redfish,.5700829,.55756694
2013,3,14,SNEMA Yellowtail Flounder,yellowtailflounderSNEMA,2.0820737,2.0363624
2013,3,15,White Hake,whitehake,1.3928329,1.3622538
2013,3,16,Witch Flounder,witchflounder,2.9439993,2.8793647
2013,3,17,SNEMA Winter Flounder,,2.1927502,2.1446092
