Stock,Total,DirectedFishery,Sector,Common Pool,Recreational,Herring Fishery,Scallop Fishery,State Water,Other,Year,Small Mesh,data_type
Northern Windowpane,161,110,NA,NA,NA,NA,NA,2,49,2010,NA,ACL
Southern Windowpane,225,154,NA,NA,NA,NA,NA,2,69,2010,NA,ACL
Ocean Pout,253,239,NA,NA,NA,NA,NA,3,11,2010,NA,ACL
Halibut,69,30,NA,NA,NA,NA,NA,36,4,2010,NA,ACL
Wolffish,77,73,NA,NA,NA,NA,NA,1,3,2010,NA,ACL
GB Cod,4540,4301,4208,93,NA,NA,NA,48,191,2011,NA,ACL
GOM Cod,8545,7649,4721,104,2824,NA,NA,597,299,2011,NA,ACL
GB Haddock,32611,30580,30393,187,NA,318,NA,342,1370,2011,NA,ACL
GOM Haddock,1141,1086,770,8,308,11,NA,9,35,2011,NA,ACL
GB Yellowtail Flounder,1416,1142,1122,20,NA,NA,200.8,0,73,2011,NA,ACL
SNE Yellowtail Flounder,641,524,404,120,NA,NA,82,7,27,2011,NA,ACL
CC/GOM Yellowtail Flounder,992,940,913,27,NA,NA,NA,10,42,2011,NA,ACL
Plaice,3280,3108,3038,70,NA,NA,NA,34,138,2011,NA,ACL
Witch Flounder,1304,1236,1211,25,NA,NA,NA,14,55,2011,NA,ACL
GB Winter Flounder,2118,2007,1993,14,NA,NA,NA,0,111,2011,NA,ACL
GOM Winter Flounder,524,329,313,16,NA,NA,NA,163,32,2011,NA,ACL
SNE/MA Winter Flounder,842,726,NA,726,NA,NA,NA,72,45,2011,NA,ACL
Redfish,7959,7541,7505,36,NA,NA,NA,84,334,2011,NA,ACL
White Hake,3138,2974,2946,28,NA,NA,NA,33,132,2011,NA,ACL
Pollock,16166,13952,13848,104,NA,NA,NA,769,1445,2011,NA,ACL
Northern Windowpane,161,110,NA,110,NA,NA,NA,2,49,2011,NA,ACL
Southern Windowpane,225,154,NA,154,NA,NA,NA,2,69,2011,NA,ACL
Ocean Pout,253,239,NA,239,NA,NA,NA,3,11,2011,NA,ACL
Halibut,76,33,NA,33,NA,NA,NA,39,4,2011,NA,ACL
Wolffish,77,73,NA,73,NA,NA,NA,1,3,2011,NA,ACL
GB Cod,4861,4605,4524,81,NA,NA,NA,51,204,2012,NA,ACL
GOM Cod,67002,6385,3619,80,2215,NA,NA,253,62,2012,NA,ACL
GB Haddock,29260,27438,27363,75,NA,286,NA,307,1229,2012,NA,ACL
GOM Haddock,958,912,648,5,259,9,NA,15,22,2012,NA,ACL
GB Yellowtail Flounder,547.8,368.3,364.1,4.2,NA,NA,156.9,0,22.6,2012,NA,ACL
SNE Yellowtail Flounder,936,760,607,153,NA,NA,127,10,40,2012,NA,ACL
CC/GOM Yellowtail Flounder,1104,1046,1021,25,NA,NA,NA,35,23,2012,NA,ACL
Plaice,3459,3278,3223,55,NA,NA,NA,36,145,2012,NA,ACL
Witch Flounder,1563,1448,1426,22,NA,NA,NA,49,66,2012,NA,ACL
GB Winter Flounder,3575,3387,3367,20,NA,NA,NA,0,188,2012,NA,ACL
GOM Winter Flounder,1040,715,690,25,NA,NA,NA,272,54,2012,NA,ACL
SNE/MA Winter Flounder,603,303,NA,303,NA,NA,NA,175,125,2012,NA,ACL
Redfish,8786,8325,8291,34,NA,NA,NA,92,369,2012,NA,ACL
White Hake,3465,3283,3257,26,NA,NA,NA,73,109,2012,NA,ACL
Pollock,14736,12612,12530,82,NA,NA,NA,754,1370,2012,NA,ACL
Northern Windowpane,163,129,NA,129,NA,NA,NA,2,33,2012,NA,ACL
Southern Windowpane,381,72,NA,72,NA,NA,NA,39,270,2012,NA,ACL
Ocean Pout,240,214,NA,214,NA,NA,NA,3,23,2012,NA,ACL
Halibut,83,36,NA,36,NA,NA,NA,43,4,2012,NA,ACL
Wolffish,77,73,NA,73,NA,NA,NA,1,3,2012,NA,ACL
GB Cod,1907,1807,1776,32,NA,NA,NA,20,80,2013,NA,ACL
GOM Cod,1470,1316,812,18,486,NA,NA,103,51,2013,NA,ACL
GB Haddock,27936,26196,26111,85,NA,273,NA,293,1173,2013,NA,ACL
GOM Haddock,274,261,185,2,74,3,NA,4,6,2013,NA,ACL
GB Yellowtail Flounder,208.5,154.5,152.6,1.9,NA,NA,41.5,NA,4.3,2013,4,ACL
SNE Yellowtail Flounder,665,585.7,487.5,98.2,NA,NA,43.6,7,28,2013,NA,ACL
CC/GOM Yellowtail Flounder,523,479,466,13,NA,NA,NA,33,11,2013,NA,ACL
Plaice,1482,1420,1395,25,NA,NA,NA,31,31,2013,NA,ACL
Witch Flounder,751,610,599,11,NA,NA,NA,23,117,2013,NA,ACL
GB Winter Flounder,3641,3528,3506,22,NA,NA,NA,NA,113,2013,NA,ACL
GOM Winter Flounder,1040,715,688,26,NA,NA,NA,272,54,2013,NA,ACL
SNE/MA Winter Flounder,1612,1210,1074,136,NA,NA,NA,235,168,2013,NA,ACL
Redfish,10462,10132,10092,40,NA,NA,NA,110,220,2013,NA,ACL
White Hake,3974,3849,3822,27,NA,NA,NA,42,84,2013,NA,ACL
Pollock,14921,12893,12802,91,NA,NA,NA,936,1092,2013,NA,ACL
Northern Windowpane,144,98,NA,98,NA,NA,NA,2,44,2013,NA,ACL
Southern Windowpane,527,102,NA,102,NA,NA,183,55,186,2013,NA,ACL
Ocean Pout,220,197,NA,197,NA,NA,NA,2,21,2013,NA,ACL
Halibut,96,52,NA,52,NA,NA,NA,40,5,2013,NA,ACL
Wolffish,65,62,NA,62,NA,NA,NA,1,3,2013,NA,ACL
GB Cod,1867,1769,1736,33,NA,NA,NA,20,78,2014,NA,ACL
GOM Cod,1470,1316,811,19,486,NA,NA,103,51,2014,NA,ACL
GB Haddock,18312,17171,17052,119,NA,162,NA,192,769,2014,NA,ACL
GOM Haddock,641,609,432,4,173,6,NA,10,15,2014,NA,ACL
GB Yellowtail Flounder,318.1,254.5,250.6,3.9,NA,NA,50.9,NA,6.6,2014,6.1,ACL
SNE Yellowtail Flounder,665,564,462,102,NA,NA,66,7,28,2014,NA,ACL
CC/GOM Yellowtail Flounder,523,479,463,16,NA,NA,NA,33,11,2014,NA,ACL
Plaice,1442,1382,1356,26,NA,NA,NA,30,30,2014,NA,ACL
Witch Flounder,751,610,598,12,NA,NA,NA,23,117,2014,NA,ACL
GB Winter Flounder,3493,3385,3356,29,NA,NA,NA,NA,108,2014,NA,ACL
GOM Winter Flounder,1040,715,683,32,NA,NA,NA,272,54,2014,NA,ACL
SNE/MA Winter Flounder,1612,1210,1063,147,NA,NA,NA,235,168,2014,NA,ACL
Redfish,10909,10565,10521,44,NA,NA,NA,115,229,2014,NA,ACL
White Hake,4417,4278,4248,30,NA,NA,NA,46,93,2014,NA,ACL
Pollock,15304,13224,13139,85,NA,NA,NA,960,1120,2014,NA,ACL
Northern Windowpane,144,98,NA,98,NA,NA,NA,2,44,2014,NA,ACL
Southern Windowpane,527,102,NA,102,NA,NA,183,55,186,2014,NA,ACL
Ocean Pout,220,197,NA,197,NA,NA,NA,2,21,2014,NA,ACL
Halibut,106,57,NA,57,NA,NA,NA,44,5,2014,NA,ACL
Wolffish,65,62,NA,62,NA,NA,NA,1,3,2014,NA,ACL
GB Cod,1886,1787,1748,37,NA,NA,NA,20,79,2015,NA,ACL
GOM Cod,366,328,201,6,121,NA,NA,26,13,2015,NA,ACL
GB Haddock,23204,21759,21566,193,NA,227,NA,244,975,2015,NA,ACL
GOM Haddock,1375,1330,946,12,372,14,NA,11,21,2015,NA,ACL
GB Yellowtail Flounder,240,202.9,199,3.9,NA,NA,30.1,NA,2,2015,5,ACL
SNE Yellowtail Flounder,666,579,460,119,NA,NA,44,14,28,2015,NA,ACL
CC/GOM Yellowtail Flounder,524,458,437,21,NA,NA,NA,38,27,2015,NA,ACL
Plaice,1470,1408,1381,27,NA,NA,NA,31,31,2015,NA,ACL
Witch Flounder,751,610,596,14,NA,NA,NA,23,117,2015,NA,ACL
GB Winter Flounder,1952,1891,1873,18,NA,NA,NA,NA,60,2015,NA,ACL
GOM Winter Flounder,489,392,371,21,NA,NA,NA,87,10,2015,NA,ACL
SNE/MA Winter Flounder,1607,1306,1147,159,NA,NA,NA,117,184,2015,NA,ACL
Redfish,11393,11034,10970,64,NA,NA,NA,120,239,2015,NA,ACL
White Hake,4484,4343,4311,32,NA,NA,NA,47,94,2015,NA,ACL
Pollock,15878,13720,13634,86,NA,NA,NA,996,1162,2015,NA,ACL
Northern Windowpane,144,98,NA,98,NA,NA,NA,2,44,2015,NA,ACL
Southern Windowpane,527,102,NA,102,NA,NA,183,55,186,2015,NA,ACL
Ocean Pout,220,195,NA,195,NA,NA,NA,2,24,2015,NA,ACL
Halibut,97,64,NA,64,NA,NA,NA,30,3,2015,NA,ACL
Wolffish,65,62,NA,62,NA,NA,NA,1,3,2015,NA,ACL
GB Cod,730,608,597,11,NA,NA,NA,23,99,2016,NA,ACL
GOM Cod,473,437,271,9,157,NA,NA,27,10,2016,NA,ACL
GB Haddock,53309,51667,51328,339,NA,512,NA,561,561,2016,NA,ACL
GOM Haddock,3430,3344,2390,26,928,34,NA,26,26,2016,NA,ACL
GB Yellowtail Flounder,261,250.8,247.1,3.7,NA,NA,2.2,NA,3,2016,5,ACL
SNE Yellowtail Flounder,256,204,169,35,NA,NA,17,5,29,2016,NA,ACL
CC/GOM Yellowtail Flounder,409,341,327,14,NA,NA,NA,43,26,2016,NA,ACL
Plaice,1235,1183,1163,20,NA,NA,NA,26,26,2016,NA,ACL
Witch Flounder,441,370,362,8,NA,NA,NA,12,59,2016,NA,ACL
GB Winter Flounder,650,590,585,5,NA,NA,NA,NA,60,2016,NA,ACL
